Title,Algorithm Agent 1,Algorithm Agent 2,Heuristic Agent 1,Heuristic Agent 2,Max Depth Agent 1,Number CutOff Agent 1,Max Depth Agent 2,Number CutOff Agent 2,Number of l Agent 2,OUTCOME,Winner,Total Time,AVG Time Agent 1,AVG Time Agent 2,Number of Moves Agent 1,Number of Moves Agent 2,States Evaluated Agent 1,States Evaluated Agent 2,Pruning carried out Agent 1,Pruning carried out Agent 2,States evaluated H0 Agent 1,States evaluated H0 Agent 2,Pruning H0 carried out Agent 1,Pruning H0 carried out Agent 2,States evaluated Hl Agent 2,Pruning Hl carried out Agent 2
min_max_alpha_beta_pruning_h0_cut max_depth=3 k=5 vs min_max_alpha_beta_pruning_hl_cut max_depth=3 k=5 l=3,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,5,3,5,3,CHECKMATE,Black,95360.93ms,222.48ms,4796.41ms,19,19,1483,1474,256,330,10424,17410,7954,14763,124640,11261
min_max_alpha_beta_pruning_h0_cut max_depth=3 k=5 vs min_max_alpha_beta_pruning_hl_cut max_depth=4 k=5 l=3,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,5,4,5,3,SEVENTYFIVE_MOVES,,714725.30ms,375.28ms,3160.77ms,203,202,13777,49175,1831,5770,91865,285342,70522,217797,385798,47333
min_max_alpha_beta_pruning_h0_cut max_depth=4 k=5 vs min_max_alpha_beta_pruning_hl_cut max_depth=3 k=5 l=3,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,5,3,5,3,CHECKMATE,Black,259116.41ms,994.12ms,7364.39ms,31,31,6764,2283,1225,459,72736,27865,61426,23960,266399,18462
min_max_alpha_beta_pruning_h0_cut max_depth=4 k=5 vs min_max_alpha_beta_pruning_hl_cut max_depth=4 k=5 l=3,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,5,4,5,3,CHECKMATE,Black,409949.13ms,925.44ms,6022.81ms,59,59,14222,15643,1919,2284,113068,100606,92101,77286,370148,29127
min_max_alpha_beta_pruning_h0_cut max_depth=5 k=5 vs min_max_alpha_beta_pruning_hl_cut max_depth=5 k=5 l=3,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,5,5,5,5,3,CHECKMATE,Black,524009.38ms,2357.57ms,13521.41ms,33,33,18089,25693,4818,5295,177996,319823,142118,274871,449458,26568
min_max_alpha_beta_pruning_h0_cut max_depth=6 k=5 vs min_max_alpha_beta_pruning_hl_cut max_depth=5 k=5 l=3,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,6,5,5,5,3,CHECKMATE,Black,464246.86ms,9959.99ms,12146.91ms,21,21,48762,22091,9635,4256,529913,263997,447319,226407,280669,16143
min_max_alpha_beta_pruning_h0_cut max_depth=5 k=5 vs min_max_alpha_beta_pruning_hl_cut max_depth=6 k=5 l=3,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,5,5,6,5,3,CHECKMATE,Black,414618.98ms,2145.72ms,13801.06ms,26,26,14371,49934,3541,10706,132797,441109,105122,352812,216425,16284
min_max_alpha_beta_pruning_h0_cut max_depth=6 k=5 vs min_max_alpha_beta_pruning_hl_cut max_depth=6 k=5 l=3,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,6,5,6,5,3,CHECKMATE,Black,1045058.47ms,2264.87ms,4434.07ms,156,156,107871,141840,21445,29922,949247,967881,764094,723184,474921,31827
min_max_alpha_beta_pruning_h0_cut max_depth=7 k=5 vs min_max_alpha_beta_pruning_hl_cut max_depth=7 k=5 l=2,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,7,5,7,5,2,CHECKMATE,Black,1068613.62ms,16908.09ms,15474.11ms,33,33,203735,175735,55771,44464,1902516,1872862,1499492,1530924,19976,798
min_max_alpha_beta_pruning_h0_cut max_depth=8 k=3 vs min_max_alpha_beta_pruning_hl_cut max_depth=8 k=3 l=2,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,8,3,8,3,2,FIVEFOLD_REPETITION,,713133.09ms,7275.24ms,8932.24ms,44,44,55755,72428,13810,18245,697904,824035,617838,721660,25595,892
min_max_alpha_beta_pruning_h0_cut max_depth=9 k=3 vs min_max_alpha_beta_pruning_hl_cut max_depth=8 k=3 l=2,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,9,3,8,3,2,SEVENTYFIVE_MOVES,,2302339.93ms,4223.36ms,3237.96ms,309,308,400600,336338,117928,84576,2666890,2011525,2069775,1541780,51434,3589
min_max_alpha_beta_pruning_h0_cut max_depth=8 k=3 vs min_max_alpha_beta_pruning_hl_cut max_depth=9 k=3 l=2,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,8,3,9,3,2,CHECKMATE,Black,231860.61ms,4396.69ms,13438.58ms,13,13,10811,33118,2641,8351,139247,443234,123830,395955,6917,330
min_max_alpha_beta_pruning_h0_cut max_depth=9 k=3 vs min_max_alpha_beta_pruning_hl_cut max_depth=9 k=3 l=2,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,9,3,9,3,2,CHECKMATE,Black,698797.37ms,7961.92ms,13875.40ms,32,32,52025,77072,16260,20168,661108,1154224,580171,1041957,19697,960
min_max_alpha_beta_pruning_h0_cut max_depth=9 k=3 vs min_max_alpha_beta_pruning_hl_cut max_depth=10 k=3 l=2,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,9,3,10,3,2,CHECKMATE,Black,1006601.33ms,7431.49ms,20529.54ms,36,36,67210,185626,20677,54816,859254,2340115,755804,2059889,23455,972
min_max_alpha_beta_pruning_h0_cut max_depth=10 k=3 vs min_max_alpha_beta_pruning_hl_cut max_depth=9 k=3 l=2,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,10,3,9,3,2,CHECKMATE,Black,845928.87ms,17057.14ms,12112.75ms,29,29,104275,74680,26795,19573,1408235,1028538,1256295,918918,16229,623
min_max_alpha_beta_pruning_h0_cut max_depth=10 k=3 vs min_max_alpha_beta_pruning_hl_cut max_depth=10 k=3 l=2,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,10,3,10,3,2,FIVEFOLD_REPETITION,,2603557.81ms,6226.41ms,6631.56ms,203,202,519031,591049,143424,166332,4042817,4375924,3265353,3495986,32451,1248
