FEN,Evaluation
2r2bk1/5p2/pR5p/6p1/P2N4/2P4P/3r1PP1/R5K1 b - - 0 30,0
5bk1/5p2/pR5p/6p1/P2N4/2r4P/3r1PP1/R5K1 w - - 0 31,0
5bk1/5p2/pR5p/5Np1/P7/2r4P/3r1PP1/R5K1 b - - 1 31,0
6k1/5p2/pR5p/2b2Np1/P7/2r4P/3r1PP1/R5K1 w - - 2 32,0
6k1/5p2/pR5N/2b3p1/P7/2r4P/3r1PP1/R5K1 b - - 0 32,0
8/5p1k/pR5N/2b3p1/P7/2r4P/3r1PP1/R5K1 w - - 1 33,0
8/5p1k/p4R1N/2b3p1/P7/2r4P/3r1PP1/R5K1 b - - 2 33,-43
8/5p1k/p4R1N/6p1/P2b4/2r4P/3r1PP1/R5K1 w - - 3 34,-13
8/5p1k/R6N/6p1/P2b4/2r4P/3r1PP1/R5K1 b - - 0 34,-85
8/5p1k/R6N/6p1/P2b4/2r4P/5rP1/R5K1 w - - 0 35,-28
8/5p1k/R6N/6p1/P2b4/2r4P/5rP1/R6K b - - 1 35,-48
8/5p1k/R6N/6p1/P2b4/6rP/5rP1/R6K w - - 2 36,0
8/5p1k/R6N/6p1/P2b4/6rP/5rP1/6RK b - - 3 36,0
8/7k/R6N/5pp1/P2b4/6rP/5rP1/6RK w - - 0 37,0
8/7k/3R3N/5pp1/P2b4/6rP/5rP1/6RK b - - 1 37,-661
8/7k/3R3N/4bpp1/P7/6rP/5rP1/6RK w - - 2 38,-666
8/3R3k/7N/4bpp1/P7/6rP/5rP1/6RK b - - 3 38,-674
8/3R4/7k/4bpp1/P7/6rP/5rP1/6RK w - - 0 39,-624
8/3R4/7k/4bpp1/P7/6rP/5rP1/4R2K b - - 1 39,-757
8/3R4/7k/4bpp1/P7/4r2P/5rP1/4R2K w - - 2 40,-541
8/3R4/7k/4bpp1/P7/4r2P/5rP1/1R5K b - - 3 40,-661
8/3R4/7k/4bpp1/P7/4r2P/1r4P1/1R5K w - - 4 41,-538
8/3R4/7k/4bpp1/P7/4r2P/1r4P1/2R4K b - - 5 41,-564
8/3R4/7k/4bpp1/P7/4r2P/2r3P1/2R4K w - - 6 42,-590
8/3R4/7k/4bpp1/P7/4r2P/2r3P1/1R5K b - - 7 42,-689
8/3R4/7k/4bpp1/P7/2r4P/2r3P1/1R5K w - - 8 43,-452
8/3R4/7k/4bpp1/P7/2r4P/2r3P1/1R4K1 b - - 9 43,-529
8/3R4/6k1/4bpp1/P7/2r4P/2r3P1/1R4K1 w - - 10 44,-453
8/3R4/6k1/P3bpp1/8/2r4P/2r3P1/1R4K1 b - - 0 44,-495
8/3R4/6k1/P3bpp1/8/2r4P/6P1/1Rr3K1 w - - 1 45,-473
8/3R4/6k1/P3bpp1/8/2r4P/6P1/2R3K1 b - - 0 45,-460
8/3R4/6k1/P3bpp1/8/7P/6P1/2r3K1 w - - 0 46,-460
8/3R4/6k1/P3bpp1/8/7P/5KP1/2r5 b - - 1 46,-462
8/3R4/6k1/P3bpp1/8/7P/5KP1/r7 w - - 2 47,-479
8/8/6k1/P2Rbpp1/8/7P/5KP1/r7 b - - 3 47,-468
8/2b5/6k1/P2R1pp1/8/7P/5KP1/r7 w - - 4 48,-478
r1b2rk1/ppq1b1pp/2n2n2/2P1pp2/8/2N2NP1/PP2QPBP/R1B2RK1 b - - 2 15,-90
r1b2rk1/1pq1b1pp/p1n2n2/2P1pp2/8/2N2NP1/PP2QPBP/R1B2RK1 w - - 0 16,13
r1b2rk1/1pq1b1pp/p1n2n2/2P1pp2/2Q5/2N2NP1/PP3PBP/R1B2RK1 b - - 1 16,-90
r1b2r1k/1pq1b1pp/p1n2n2/2P1pp2/2Q5/2N2NP1/PP3PBP/R1B2RK1 w - - 2 17,-13
r1b2r1k/1pq1b1pp/p1n2n2/2P1pp2/1PQ5/2N2NP1/P4PBP/R1B2RK1 b - - 0 17,-70
r1b2r1k/1pq1b1p1/p1n2n1p/2P1pp2/1PQ5/2N2NP1/P4PBP/R1B2RK1 w - - 0 18,31
r1b2r1k/1pq1b1p1/p1n2n1p/2P1pp2/NPQ5/5NP1/P4PBP/R1B2RK1 b - - 1 18,-43
r4r1k/1pqbb1p1/p1n2n1p/2P1pp2/NPQ5/5NP1/P4PBP/R1B2RK1 w - - 2 19,36
r4r1k/1pqbb1p1/pNn2n1p/2P1pp2/1PQ5/5NP1/P4PBP/R1B2RK1 b - - 3 19,0
3r1r1k/1pqbb1p1/pNn2n1p/2P1pp2/1PQ5/5NP1/P4PBP/R1B2RK1 w - - 4 20,74
3r1r1k/1pqNb1p1/p1n2n1p/2P1pp2/1PQ5/5NP1/P4PBP/R1B2RK1 b - - 0 20,-40
3r1r1k/1p1qb1p1/p1n2n1p/2P1pp2/1PQ5/5NP1/P4PBP/R1B2RK1 w - - 0 21,55
3r1r1k/1p1qb1p1/p1n2n1p/2P1pp2/1PQ5/5NP1/PB3PBP/R4RK1 b - - 1 21,-11
3r1r1k/1p1qb1p1/p1n2n1p/2P2p2/1PQ1p3/5NP1/PB3PBP/R4RK1 w - - 0 22,38
3r1r1k/1p1qb1p1/p1n2n1p/2P2p2/1PQ1p2N/6P1/PB3PBP/R4RK1 b - - 1 22,-2
3r1r2/1p1qb1pk/p1n2n1p/2P2p2/1PQ1p2N/6P1/PB3PBP/R4RK1 w - - 2 23,61
3r1r2/1p1qb1pk/p1n2n1p/2P2p2/1PQ1p2N/5PP1/PB4BP/R4RK1 b - - 0 23,-141
3r1r2/1p1qb1pk/p1n4p/2Pn1p2/1PQ1p2N/5PP1/PB4BP/R4RK1 w - - 1 24,-22
3r1r2/1p1qb1pk/p1n4p/2Pn1p2/1PQ1p2N/5PP1/PB4BP/3R1RK1 b - - 2 24,-23
3r1r2/1p1q2pk/p1n4p/2Pn1p2/1PQ1p2b/5PP1/PB4BP/3R1RK1 w - - 0 25,-7
3r1r2/1p1q2pk/p1n4p/2Pn1p2/1PQ1p2P/5P2/PB4BP/3R1RK1 b - - 0 25,-16
3r1r2/1p1q2pk/p1n4p/2Pn1p2/1PQ4P/4pP2/PB4BP/3R1RK1 w - - 0 26,41
3r1r2/1p1q2pk/p1n4p/2Pn1p2/1PQ2P1P/4p3/PB4BP/3R1RK1 b - - 0 26,-82
3r1r2/1p1q2pk/p1n4p/2Pn1p2/1PQ2P1P/8/PB2p1BP/3R1RK1 w - - 0 27,107
3r1r2/1p1q2pk/p1n4p/2Pn1p2/1P3P1P/8/PB2Q1BP/3R1RK1 b - - 0 27,99
3r1r2/1p1q2pk/p1n4p/2P2p2/1P3n1P/8/PB2Q1BP/3R1RK1 w - - 0 28,179
3r1r2/1p1q2pk/p1n4p/2P2p2/1P3n1P/5Q2/PB4BP/3R1RK1 b - - 1 28,107
3r1r2/1p1q2pk/p1n4p/2P2p2/1P5P/3n1Q2/PB4BP/3R1RK1 w - - 2 29,174
3r1r2/1p1q2pk/p1n4p/2P2p2/1P5P/3n1Q1B/PB5P/3R1RK1 b - - 3 29,166
3r1r2/1p1qn1pk/p6p/2P2p2/1P5P/3n1Q1B/PB5P/3R1RK1 w - - 4 30,559
3r1r2/1p1qn1pk/p6p/2P2p2/1P5P/3n2QB/PB5P/3R1RK1 b - - 5 30,531
3r1r2/1p1qn2k/p6p/2P2pp1/1P5P/3n2QB/PB5P/3R1RK1 w - - 0 31,794
3r1r2/1p1qn2k/p6p/2P2pP1/1P6/3n2QB/PB5P/3R1RK1 b - - 0 31,578
3r2r1/1p1qn2k/p6p/2P2pP1/1P6/3n2QB/PB5P/3R1RK1 w - - 1 32,767
3r2r1/1p1qn2k/p4B1p/2P2pP1/1P6/3n2QB/P6P/3R1RK1 b - - 2 32,722
3r4/1p1qn2k/p4Brp/2P2pP1/1P6/3n2QB/P6P/3R1RK1 w - - 3 33,964
3r4/1p1qB2k/p5rp/2P2pP1/1P6/3n2QB/P6P/3R1RK1 b - - 0 33,749
3r4/1p2q2k/p5rp/2P2pP1/1P6/3n2QB/P6P/3R1RK1 w - - 0 34,1078
3r4/1p2q2k/p5rp/2P2BP1/1P6/3n2Q1/P6P/3R1RK1 b - - 0 34,1372
3r4/1p2q2k/p5rp/2P2BP1/1n6/6Q1/P6P/3R1RK1 w - - 0 35,2680
3R4/1p2q2k/p5rp/2P2BP1/1n6/6Q1/P6P/5RK1 b - - 0 35,6128
r1bnkb1r/pp2pppp/8/4P3/1nB5/5N2/PP3PPP/RNB2RK1 b kq - 1 10,-85
r1bnkb1r/pp2pppp/8/4P3/2B5/5N2/PPn2PPP/RNB2RK1 w kq - 2 11,-132
r1bnkb1r/pp2pppp/8/4P3/2B5/2N2N2/PPn2PPP/R1B2RK1 b kq - 3 11,-236
r1bnkb1r/pp2pppp/8/4P3/2B5/2N2N2/PP3PPP/n1B2RK1 w kq - 0 12,-117
r1bnkb1r/pp2pppp/8/1N2P3/2B5/5N2/PP3PPP/n1B2RK1 b kq - 1 12,-161
r2nkb1r/pp2pppp/4b3/1N2P3/2B5/5N2/PP3PPP/n1B2RK1 w kq - 2 13,-128
r2nkb1r/pp2pppp/4B3/1N2P3/8/5N2/PP3PPP/n1B2RK1 b kq - 0 13,-446
r3kb1r/pp2pppp/4n3/1N2P3/8/5N2/PP3PPP/n1B2RK1 w kq - 0 14,-395
r3kb1r/pp2pppp/4n3/1N2P1N1/8/8/PP3PPP/n1B2RK1 b kq - 1 14,-659
r3kb1r/pp2pppp/8/1N2P1n1/8/8/PP3PPP/n1B2RK1 w kq - 0 15,-307
r3kb1r/ppN1pppp/8/4P1n1/8/8/PP3PPP/n1B2RK1 b kq - 1 15,-371
r4b1r/ppNkpppp/8/4P1n1/8/8/PP3PPP/n1B2RK1 w - - 2 16,-360
N4b1r/pp1kpppp/8/4P1n1/8/8/PP3PPP/n1B2RK1 b - - 0 16,-367
N4b1r/pp1kpppp/4n3/4P3/8/8/PP3PPP/n1B2RK1 w - - 1 17,-371
N4b1r/pp1kpppp/4n3/4P3/8/4B3/PP3PPP/n4RK1 b - - 2 17,-384
N4b1r/p2kpppp/1p2n3/4P3/8/4B3/PP3PPP/n4RK1 w - - 0 18,-362
N4b1r/p2kpppp/1p2n3/4P3/8/4B3/PP3PPP/R5K1 b - - 0 18,-387
N4b1r/p2kpp1p/1p2n3/4P1p1/8/4B3/PP3PPP/R5K1 w - - 0 19,-365
N4b1r/p2kpp1p/1p2n3/4P1p1/P7/4B3/1P3PPP/R5K1 b - - 0 19,-438
N6r/p2kppbp/1p2n3/4P1p1/P7/4B3/1P3PPP/R5K1 w - - 1 20,-399
N6r/p2kppbp/1p2n3/P3P1p1/8/4B3/1P3PPP/R5K1 b - - 0 20,-496
N6r/p2kppbp/4n3/p3P1p1/8/4B3/1P3PPP/R5K1 w - - 0 21,-482
N6r/p2kppbp/4n3/R3P1p1/8/4B3/1P3PPP/6K1 b - - 0 21,-505
r7/p2kppbp/4n3/R3P1p1/8/4B3/1P3PPP/6K1 w - - 0 22,-481
r7/B2kppbp/4n3/R3P1p1/8/8/1P3PPP/6K1 b - - 0 22,-520
r7/B2kpp1p/4n3/R3b1p1/8/8/1P3PPP/6K1 w - - 0 23,-492
r7/B2kpp1p/4n3/4R1p1/8/8/1P3PPP/6K1 b - - 0 23,-517
8/r2kpp1p/4n3/4R1p1/8/8/1P3PPP/6K1 w - - 0 24,-492
8/r2kpp1p/4n3/4R1p1/8/6P1/1P3P1P/6K1 b - - 0 24,-567
8/1r1kpp1p/4n3/4R1p1/8/6P1/1P3P1P/6K1 w - - 1 25,-537
8/1r1kpp1p/4n3/6p1/8/6P1/1P2RP1P/6K1 b - - 2 25,-585
8/1r2pp1p/2k1n3/6p1/8/6P1/1P2RP1P/6K1 w - - 3 26,-546
